iter	Logloss
0	0.66125189
1	0.6345022941
2	0.6086536206
3	0.5815552885
4	0.5580834296
5	0.5347949585
6	0.5137091666
7	0.4926547029
8	0.4706332082
9	0.4511381521
10	0.4335054173
11	0.4163439369
12	0.4001584453
13	0.3831106239
14	0.3699958392
15	0.3563795646
16	0.3418963534
17	0.3288453923
18	0.316877274
19	0.3042045127
20	0.292302386
21	0.2809342914
22	0.2714334648
23	0.2643341744
24	0.2546154202
25	0.2464433546
26	0.2377060342
27	0.2319657686
28	0.2239973215
29	0.2171490583
30	0.2103576347
31	0.2039802473
32	0.1974458142
33	0.1922269299
34	0.18635212
35	0.180600479
36	0.1753523797
37	0.1705885789
38	0.1667189025
39	0.1624357593
40	0.1581370411
41	0.1538948385
42	0.1500383716
43	0.1465837971
44	0.1452153153
45	0.1426306695
46	0.1401312879
47	0.1373985357
48	0.134501361
49	0.1320419167
50	0.1291776572
51	0.1264547085
52	0.1251879585
53	0.1242698063
54	0.1220284019
55	0.1205884
56	0.1184734241
57	0.1162347953
58	0.1142519875
59	0.1124275087
60	0.1116884049
61	0.1099725292
62	0.1088844833
63	0.1074743806
64	0.1061876406
65	0.1056242916
66	0.1038504656
67	0.1024506386
68	0.1009403326
69	0.09983280873
70	0.09905179104
71	0.09785283446
72	0.09679801833
73	0.09568623866
74	0.09512437629
75	0.09404956578
76	0.09304083172
77	0.09242915967
78	0.09143446793
79	0.0902953949
80	0.08987894193
81	0.08897932874
82	0.08806930675
83	0.08728828624
84	0.08695886477
85	0.08615172995
86	0.08540472261
87	0.08460551811
88	0.08394010181
89	0.08349260836
90	0.08286698387
91	0.08227774282
92	0.08157622707
93	0.08101073052
94	0.0807025392
95	0.08041319881
96	0.07981035762
97	0.07926323941
98	0.07908324173
99	0.07862424002
100	0.07829190458
101	0.07807833036
102	0.07783261476
103	0.07730773928
104	0.0770150217
105	0.0764862833
106	0.0760137167
107	0.07565747992
108	0.07543983122
109	0.07496402519
110	0.07458392779
111	0.07437856389
112	0.07397957943
113	0.07379393771
114	0.07338301213
115	0.07318537913
116	0.07284523686
117	0.07245991698
118	0.0721121973
119	0.07180039649
120	0.07144150812
121	0.07122130954
122	0.07105779235
123	0.07088379315
124	0.07057276614
125	0.0702974537
126	0.07011443424
127	0.06977192161
128	0.06948899106
129	0.06935757999
130	0.06915413862
131	0.06884597456
132	0.06866034273
133	0.0684038426
134	0.06815834223
135	0.06791075107
136	0.06781909707
137	0.06759677642
138	0.06737854604
139	0.06716668931
140	0.06698179455
